 RESIDUALS IN EARTH-FIXED SYSTEM

 FILE 1: ${P}/b12309\ORB\brd17133.sp3                                           
 FILE 2: ${P}/b12309\ORB\igs17133.sp3                                           



 ---------------------------------------------------------------------
 | NUM |      NAME        | FLG |       RESIDUALS IN METERS      |   |
 |  26 | 56238.031250000  | P P |   464.6902 -408.3292  713.1181 |   |
 |  27 | 56238.031250000  | P P |    71.0791   67.8082   73.0760 |   |
 |  28 | 56238.031250000  | P P |   375.6668 -328.0698  800.0721 |   |
 |  29 | 56238.031250000  | P P |   135.0444 -267.1572  -87.8866 |   |
 |  30 | 56238.031250000  | P P |   -52.1664   70.6246   33.6258 |   |
 |  31 | 56238.031250000  | P P |    62.7585  -37.5191  -85.5721 |   |
 |  32 | 56238.031250000  | P P |   -31.7275  146.3297  248.4513 |   |
 |   1 | 56238.041666667  | P P |   138.5799   41.6826  652.0515 |   |
 |   2 | 56238.041666667  | P P |   510.8192  -61.6758  151.5347 |   |
 |   3 | 56238.041666667  | P P |  -169.5301 -231.9978  362.0672 |   |
 |   4 | 56238.041666667  | P P |   532.0106  149.9271  320.0448 |   |
 |   5 | 56238.041666667  | P P |   561.0085 -347.0202  340.4725 |   |
 |   6 | 56238.041666667  | P P |  -197.1283 -269.3631  263.8382 |   |
 |   8 | 56238.041666667  | P P |   347.9421  -73.0764  774.2438 |   |
 |   9 | 56238.041666667  | P P |   233.1030 -667.8001  430.2831 |   |
 |  10 | 56238.041666667  | P P |   565.3730   37.1863  264.7550 |   |
 |  11 | 56238.041666667  | P P |    89.6906  -74.4839  672.6255 |   |
 |  12 | 56238.041666667  | P P |   441.1526 -401.7933  169.3847 |   |
 |  13 | 56238.041666667  | P P |   423.6932  253.2808  307.4904 |   |
 |  14 | 56238.041666667  | P P |  -155.3706 -431.1398  133.5572 |   |
 |  15 | 56238.041666667  | P P |   325.4750 -591.3478  626.8976 |   |
 |  16 | 56238.041666667  | P P |   -94.1600   82.2133  178.6601 |   |
 |  17 | 56238.041666667  | P P |   558.3990  -76.6075  690.7076 |   |
 |  18 | 56238.041666667  | P P |    40.9416 -649.6017  454.6308 |   |
 |  19 | 56238.041666667  | P P |   -84.3139 -266.7634  543.8756 |   |
 |  20 | 56238.041666667  | P P |   115.9344  260.4804  284.7106 |   |
 |  21 | 56238.041666667  | P P |    31.8312 -613.6128  172.1011 |   |
 |  22 | 56238.041666667  | P P |  -113.3134 -474.3201  432.0170 |   |
 |  23 | 56238.041666667  | P P |   228.1258  254.3929  135.1582 |   |
 |  24 | 56238.041666667  | P P | ********** 7634.4928********** |   |
 |  25 | 56238.041666667  | P P |   295.2889 -283.9242  -23.8999 |   |
 |  26 | 56238.041666667  | P P |   496.8975 -374.5662  706.6747 |   |
 |  27 | 56238.041666667  | P P |    87.2434   67.8057   61.7623 |   |
 |  28 | 56238.041666667  | P P |   345.6428 -312.9121  805.7122 |   |
 |  29 | 56238.041666667  | P P |   171.4959 -242.0227  -85.7408 |   |
 |  30 | 56238.041666667  | P P |   -29.4833   70.4524    6.0704 |   |
 |  31 | 56238.041666667  | P P |    53.4283  -83.4740  -93.7917 |   |
 |  32 | 56238.041666667  | P P |   -51.6705  118.3901  280.3325 |   |
 |   1 | 56238.052083333  | P P |   120.9666   -3.3292  667.1977 |   |
 |   2 | 56238.052083333  | P P |   522.4360  -25.3217  174.3663 |   |
 |   3 | 56238.052083333  | P P |  -180.7975 -213.5993  317.0026 |   |
 |   4 | 56238.052083333  | P P |   531.5891  162.7578  358.6726 |   |
 |   5 | 56238.052083333  | P P |   564.0891 -306.8226  308.2647 |   |
 |   6 | 56238.052083333  | P P |  -200.0383 -248.6937  219.8321 |   |
 |   8 | 56238.052083333  | P P |   358.0687  -24.6478  755.6112 |   |
 |   9 | 56238.052083333  | P P |   236.1517 -661.4537  474.7418 |   |
 |  10 | 56238.052083333  | P P |   546.2759   73.5938  249.5056 |   |
 |  11 | 56238.052083333  | P P |    64.1924 -114.2718  667.2984 |   |
 |  12 | 56238.052083333  | P P |   444.7430 -438.5181  207.1589 |   |
 |  13 | 56238.052083333  | P P |   397.4420  258.9593  266.4565 |   |
 |  14 | 56238.052083333  | P P |  -153.7233 -459.3254  176.0280 |   |
 |  15 | 56238.052083333  | P P |   362.4456 -570.9747  635.4412 |   |
 |  16 | 56238.052083333  | P P |   -76.4322   99.4587  142.5952 |   |
 |  17 | 56238.052083333  | P P |   537.7442 -104.7560  720.6999 |   |
 |  18 | 56238.052083333  | P P |    69.5518 -664.5638  446.6926 |   |
 |  19 | 56238.052083333  | P P |  -110.6589 -265.4255  503.4184 |   |
 |  20 | 56238.052083333  | P P |    92.2222  244.4788  313.6671 |   |
 |  21 | 56238.052083333  | P P |    45.1785 -593.7847  133.2149 |   |
 |  22 | 56238.052083333  | P P |   -92.4798 -508.5107  442.6982 |   |
 |  23 | 56238.052083333  | P P |   191.1374  243.1104  112.5127 |   |
 |  24 | 56238.052083333  | P P | **********12620.8041********** |   |
 |  25 | 56238.052083333  | P P |   312.0915 -322.4303    0.5253 |   |
 |  26 | 56238.052083333  | P P |   527.0625 -340.7055  693.9026 |   |
 |  27 | 56238.052083333  | P P |   102.2569   62.3473   51.6432 |   |
 |  28 | 56238.052083333  | P P |   317.5328 -291.7949  808.0417 |   |
 |  29 | 56238.052083333  | P P |   209.3843 -221.3671  -78.2234 |   |
 |  30 | 56238.052083333  | P P |    -6.9642   64.0651  -18.9292 |   |
 |  31 | 56238.052083333  | P P |    41.3477 -130.8685  -97.0927 |   |
 |  32 | 56238.052083333  | P P |   -67.9417   87.0997  313.8333 |   |
 |   1 | 56238.062500000  | P P |   101.8979  -48.8783  676.4422 |   |
 |   2 | 56238.062500000  | P P |   534.3120    6.1913  202.5526 |   |
 |   3 | 56238.062500000  | P P |  -187.4094 -192.1696  272.4317 |   |
