 RESIDUALS IN EARTH-FIXED SYSTEM

 FILE 1: ${P}/b10121\ORB\brd15823.sp3                                           
 FILE 2: ${P}/b10121\ORB\igs15823.sp3                                           



 ---------------------------------------------------------------------
 | NUM |      NAME        | FLG |       RESIDUALS IN METERS      |   |
 |   5 | 55321.052083333  | P P |    -3.2322    1.2507    2.1167 |   |
 |   6 | 55321.052083333  | P P |     3.8477    0.5503    4.1642 |   |
 |   7 | 55321.052083333  | P P |     0.6187   -3.4155    2.9901 |   |
 |   8 | 55321.052083333  | P P |    -3.1563    0.7433    4.0816 |   |
 |   9 | 55321.052083333  | P P |    -1.6694    4.9115   -3.3558 |   |
 |  10 | 55321.052083333  | P P |    -5.2393   -0.6625   -0.1380 |   |
 |  11 | 55321.052083333  | P P |     2.6417   -5.7746   -0.9574 |   |
 |  12 | 55321.052083333  | P P |    -0.0348    2.1285   -3.6172 |   |
 |  13 | 55321.052083333  | P P |    -1.5245   -5.7676    0.0939 |   |
 |  14 | 55321.052083333  | P P |     3.8459    2.8117   -3.7289 |   |
 |  15 | 55321.052083333  | P P |    -1.2096    2.3181    3.0012 |   |
 |  17 | 55321.052083333  | P P |    -2.0313   -2.5705   -2.7412 |   |
 |  18 | 55321.052083333  | P P |     3.1313    4.0050    3.2474 |   |
 |  19 | 55321.052083333  | P P |     2.3920   -2.6866    2.4363 |   |
 |  20 | 55321.052083333  | P P |     2.1302   -3.6525   -4.9221 |   |
 |  22 | 55321.052083333  | P P |     4.0777    1.6601    1.4960 |   |
 |  23 | 55321.052083333  | P P |     0.1755   -4.2002   -0.9683 |   |
 |  24 | 55321.052083333  | P P |     2.4157    3.8860    3.8636 |   |
 |  26 | 55321.052083333  | P P |    -1.1533    4.5892    3.3091 |   |
 |  27 | 55321.052083333  | P P |    -3.1227    4.5193   -1.2398 |   |
 |  28 | 55321.052083333  | P P |    -5.1626   -1.9407    0.1627 |   |
 |  29 | 55321.052083333  | P P |     0.8584    4.3473   -1.3105 |   |
 |  30 | 55321.052083333  | P P |     1.0631    2.4804   -5.2928 |   |
 |  31 | 55321.052083333  | P P |     2.3436    0.8454   -4.8146 |   |
 |  32 | 55321.052083333  | P P |     3.7359   -2.3661   -4.1739 |   |
 |   1 | 55321.062500000  | P P |  -133.2161  -62.0454   18.8427 |   |
 |   2 | 55321.062500000  | P P |    -3.0081    0.8398   -3.3764 |   |
 |   3 | 55321.062500000  | P P |     3.7415   -0.6512    3.9184 |   |
 |   4 | 55321.062500000  | P P |    -3.0831    0.2177   -4.0161 |   |
 |   5 | 55321.062500000  | P P |    -3.6160    1.0617    1.6974 |   |
 |   6 | 55321.062500000  | P P |     4.0572    1.2833    3.9949 |   |
 |   7 | 55321.062500000  | P P |     1.0640   -3.7277    2.6036 |   |
 |   8 | 55321.062500000  | P P |    -2.5347    0.3244    4.3716 |   |
 |   9 | 55321.062500000  | P P |    -1.9180    5.0836   -2.7396 |   |
 |  10 | 55321.062500000  | P P |    -5.2668   -0.9379   -0.9560 |   |
 |  11 | 55321.062500000  | P P |     2.9255   -5.8190   -0.1395 |   |
 |  12 | 55321.062500000  | P P |    -0.6318    1.9224   -3.6190 |   |
 |  13 | 55321.062500000  | P P |    -1.3198   -5.7807   -0.7963 |   |
 |  14 | 55321.062500000  | P P |     3.7684    3.4763   -3.1168 |   |
 |  15 | 55321.062500000  | P P |    -1.5482    1.7274    3.3039 |   |
 |  17 | 55321.062500000  | P P |    -2.0206   -3.0466   -2.2968 |   |
 |  18 | 55321.062500000  | P P |     2.5306    4.0331    3.7334 |   |
 |  19 | 55321.062500000  | P P |     2.7176   -2.1671    2.8099 |   |
 |  20 | 55321.062500000  | P P |     2.9239   -3.4932   -4.8332 |   |
 |  22 | 55321.062500000  | P P |     3.8008    1.8102    2.1246 |   |
 |  23 | 55321.062500000  | P P |     0.3635   -4.0390   -1.6699 |   |
 |  24 | 55321.062500000  | P P |     1.9916    4.3854    3.7593 |   |
 |  26 | 55321.062500000  | P P |    -1.2596    4.0601    3.9694 |   |
 |  27 | 55321.062500000  | P P |    -3.1863    4.5143   -0.4544 |   |
 |  28 | 55321.062500000  | P P |    -4.8920   -2.1117    0.9527 |   |
 |  29 | 55321.062500000  | P P |     0.7100    4.3205   -2.0298 |   |
 |  30 | 55321.062500000  | P P |     0.3496    2.3992   -5.5572 |   |
 |  31 | 55321.062500000  | P P |     1.8147    1.4129   -5.0350 |   |
 |  32 | 55321.062500000  | P P |     4.2836   -2.2034   -3.9427 |   |
 |   1 | 55321.072916667  | P P |  -130.1649  -61.9767   33.8496 |   |
 |   2 | 55321.072916667  | P P |    -2.8215    0.2817   -3.8845 |   |
 |   3 | 55321.072916667  | P P |     4.0522   -0.0238    3.7802 |   |
 |   4 | 55321.072916667  | P P |    -2.6500   -0.4950   -4.3894 |   |
